# GTOC4 list of asteroids' Keplerian orbital parameters in the J2000 heliocentric ecliptic frame
# Name         Epoch (MJD)    a (AU)                   e                        i (deg)                  LAN (deg)                arg. periap. (deg)       mean anomaly (deg)
'1999LP28'     54800.000000   1.2193394140673901e+00   9.0844753714685519e-02   1.6312533159090780e+01   8.8003952732505226e+01   3.0697226147184386e+02   2.3659564208975161e+02
'1999LV7'      54800.000000   2.2084615661022702e+00   4.7066386811436323e-01   3.0480274500182556e+01   8.7483662310141469e+01   1.5892595913444276e+02   3.1983404395552719e+02
'1999RK33'     54800.000000   2.4864954000082000e+00   5.8592215080547627e-01   2.8984943584983673e+00   3.1938820323533088e+02   5.3680804862359160e+01   1.2177445149549462e+02
'1999TA10'     54800.000000   1.5056771614940401e+00   2.4165028916547474e-01   2.0842706011011852e+01   2.1473197666427262e+02   8.4687844381304032e+01   3.5574807218233758e+01
'1999TC5'      54800.000000   2.0150314925906598e+00   5.4818023819912154e-01   2.9097601817149155e+01   1.9252728177162442e+02   2.8260429900310834e+02   3.7897885510210557e+01
'1999TM12'     54800.000000   1.5891711334665899e+00   4.6434531005373142e-01   2.8596414861769642e+01   1.9905002875049908e+02   2.5085002786523495e+02   1.7561302909648037e+02
'1999TN12'     54800.000000   1.8864952291865500e+00   3.9106047774478253e-01   3.7258116581303511e+01   2.1239559570534800e+02   1.5021317558107762e+02   2.0529103386057048e+02
'1999TO13'     54800.000000   1.5822678726181001e+00   4.3572947586644217e-01   2.0275219071548179e+01   1.5021774272449022e+01   3.0226955566102527e+02   2.3594621008423337e+02
'1999TT16'     54800.000000   2.1643146785468099e+00   6.6588251190252856e-01   2.0149341436077122e+00   3.2820299616090915e+02   1.4864372518843754e+02   2.7986967723555790e+02
'1999TW16'     54800.000000   1.4248450878074399e+00   7.3559534082155364e-01   3.4629401896990395e+01   2.8338244490932311e+01   1.3466235033552078e+02   9.1195395754127901e+01
'1999TX2'      54800.000000   1.2808179800464401e+00   4.6315828905705442e-01   6.1388581169973371e+01   1.7997507146137937e+02   5.3565487433697299e+01   1.8571708892851581e+02
'1999VG22'     54800.000000   1.6466080121571400e+00   3.3006999794245534e-01   2.8534255264560811e+00   2.7146452344434533e+02   2.2247946783563981e+02   4.9783631783818151e+01
'1999VM11'     54800.000000   1.5945439850507099e+00   2.7909933289764688e-01   1.7052505449778891e+01   2.1809084903823185e+02   2.0630695398800452e+02   1.6499944668155231e+02
'1999VN6'      54800.000000   1.7332877138223499e+00   3.7049858611820269e-01   1.9484717020452202e+01   5.8127500873894888e+01   4.3560716502812497e+01   3.2332760924517140e+02
'1999VR6'      54800.000000   2.2118017182221799e+00   7.6139580778009308e-01   8.5678848431811687e+00   2.1308080322534815e+02   2.9401542609090507e+02   2.5445555786423259e+02
'1999VS6'      54800.000000   1.1975698761576801e+00   2.2308011370750869e-01   2.7971639618729167e+01   3.5344483054148391e+01   8.9294115667535124e+01   2.6746620157249237e+02
'1999VV25'     54800.000000   2.2305271959028601e+00   5.5539019258529831e-01   7.4317574380081108e+00   2.3185073881150362e+02   2.0463717939998722e+02   2.5348253993582117e+02
'1999VX15'     54800.000000   3.0030144706472202e+00   6.0195473523994336e-01   1.2340107286234796e+01   2.2240493511100772e+02   2.6829087527027173e+02   2.3564338127929526e+02
'1999XM141'    54800.000000   1.2388916078686001e+00   3.7055387373214921e-01   2.1681828028413378e+01   7.3115325356982652e+01   1.0553090047358688e+02   1.3276357397168769e+02
'1999YF3'      54800.000000   1.4869852102068799e+00   1.4335124175220698e-01   2.6762850406241622e+01   2.9894825927566058e+02   1.4707167997035040e+02   3.4041590301841040e+02
'1999YR14'     54800.000000   1.6536512689222400e+00   4.0069261757759106e-01   3.7221930161441943e+00   3.1338963493744654e+00   9.4143875285008676e+00   1.1473402134869427e+02
'2000AA6'      54800.000000   1.2894296011872100e+00   5.2072487818629487e-01   2.0468218225392127e+00   2.8023628945402021e+02   2.8724052736660479e+02   3.4568317271632839e+02
'2000AD6'      54800.000000   2.2140091055224800e+00   4.2366180119879415e-01   3.0061134538583751e+01   1.1286985173704201e+02   3.3515639387795562e+02   2.6312129696608821e+02
'2000AD205'    54800.000000   1.6932369168913000e+00   5.8585412391951275e-01   7.9277315427745059e+00   1.5727922175025782e+02   1.9189364158255177e+02   4.9168759881211713e+01
'2000AE205'    54800.000000   1.1640916412368001e+00   1.3735245685157099e-01   4.4599520108376041e+00   2.7170380889701380e+02   1.5031793038728730e+02   6.5764238746691433e+01
'2000AG6'      54800.000000   1.0176610883767701e+00   1.8984247196221674e-01   2.4353271894008728e+00   2.8309580517719775e+02   2.7634793469302116e+02   1.7501418534297039e+02
'2000AG205'    54800.000000   2.2916921354623199e+00   5.2110706331058609e-01   1.8413146781745375e+01   2.6997888607120717e+02   2.4900485999287596e+02   1.7950954719349232e+02
'2000BK19'     54800.000000   2.4131622960502601e+00   5.7688543207318621e-01   1.4782344336275639e+01   3.1067498966316850e+02   2.0079225123035789e+02   1.2400890107122562e+02
'2000BL19'     54800.000000   2.7276768579557502e+00   6.3965564398534158e-01   1.5130600816849149e+01   3.1482356852683029e+02   2.4120491237593814e+02   3.3381715185983813e+02
'2000BO28'     54800.000000   1.6987924350426000e+00   5.9942959710691113e-01   6.3382553150574878e+00   3.2008073510499941e+02   3.0303309863015335e+02   2.9995994690823341e+02
'2000CR101'    54800.000000   1.6947404652947700e+00   2.4620994902510107e-01   5.9945759413544919e-01   3.3375720449428758e+02   1.5292204119057061e+02   8.6981368274968727e+00
'2000DN1'      54800.000000   2.8838395657900602e+00   6.6921911487936259e-01   7.7726489529775673e+00   4.2346817300971423e+01   1.4619066712860726e+02   2.7809119333909911e+02
'2000DV110'    54800.000000   2.0912697655987400e+00   3.8719088200494961e-01   4.3959247750682344e+00   1.1673587593727145e+01   2.2025932805158087e+02   2.8038018180512364e+02
'2000EA14'     54800.000000   1.1168504142527100e+00   2.0251608761016471e-01   3.5543140754300340e+00   2.0398158468875630e+02   2.0605965108992140e+02   2.3667280537551167e+02
'2000EB14'     54800.000000   8.9557654855752800e-01   4.9544188148688106e-01   1.1561952262615762e+01   1.6289527752564175e+02   1.3957717229205124e+02   2.6143357706698200e+01
'2000EM26'     54800.000000   8.1608695340410997e-01   4.6975689802310300e-01   3.8731031119040806e+00   3.4525472983125388e+02   2.3965707840662091e+01   6.6774392430650892e+01
'2000EU70'     54800.000000   2.2266296226442099e+00   7.6599183969126705e-01   1.3077045280433641e+01   1.6623990942387292e+02   2.5316261932644667e+02   2.4962901142480982e+02
'2000EV106'    54800.000000   1.6486238842468901e+00   3.4867295107781882e-01   3.3474499827760823e+01   1.7092301922550158e+02   2.5529981692946100e+02   1.0757769258484790e+02
'2000FP10'     54800.000000   1.4400859341105900e+00   2.3743591537069761e-01   2.3574145938085916e+01   5.1374957303403921e+00   1.6529600952530333e+02   1.4392664470728372e+01
'2000GC147'    54800.000000   2.7719386519996401e+00   6.1517995803266623e-01   2.3278406334374613e+00   3.1906807230603243e+02   1.2685030000735254e+02   3.1963919361010721e+02
'2000GF2'      54800.000000   1.3409680477807699e+00   3.7757264376744565e-01   9.6275383029566388e+00   1.7612266638981623e+02   1.0798970868600179e+02   1.6187980597000677e+02
'2000GV147'    54800.000000   1.7465325082401999e+00   4.5627796059465286e-01   1.0571837146765107e+01   6.8765231294162547e+01   2.1593753771416073e+02   2.3740290648932242e+02
'2000JB6'      54800.000000   1.7864499858116500e+00   3.4533908712037942e-01   1.0639960806936251e+01   1.1070839932641439e+02   1.7546488528349468e+02   1.7880168133189900e+02
'2000LF3'      54800.000000   2.5792600410972799e+00   6.6001068931631734e-01   1.4947309213774696e+01   8.3198105306614494e+01   2.2263022022867361e+02   4.1605619685669897e+00
'2000LG6'      54800.000000   9.1736968133340702e-01   1.1112870789061108e-01   2.8309192572284259e+00   7.2570858665650292e+01   8.0896704026115298e+00   5.4990537679686675e+01
'2000OG8'      54800.000000   2.6677437120219798e+00   5.4225298455955451e-01   5.2869428210359235e+00   2.9592472090551485e+02   7.0837844376023057e+01   3.1407329542209874e+02
'2000OH'       54800.000000   2.4231615450727499e+00   5.9032334656997054e-01   1.8561385310859659e+01   2.8408053728011151e+02   3.5450938761096739e+02   8.3019858217857902e+01
'2000OK8'      54800.000000   9.8467992909223800e-01   2.2112673828216234e-01   9.9855970251732415e+00   3.0463199640178141e+02   1.6613947030108204e+02   3.8918889854676600e+01
'2000PD3'      54800.000000   1.9986754580065600e+00   5.9274590433997987e-01   7.6891973482278093e+00   2.9901117921133869e+02   1.0977712314811471e+02   3.0773159099310715e+02
'2000PG3'      54800.000000   2.8247596649914501e+00   8.5925944467829629e-01   2.1647872273200214e+01   3.2418595736057586e+02   1.4080751341750852e+02   2.4121471060777637e+02
'2000PN'       54800.000000   1.0196432799684600e+00   7.6132632396292388e-01   2.2775525866730739e+01   1.2876719239334091e+02   3.7741760599744275e+01   8.5066421929580002e+01
'2000PO30'     54800.000000   1.8358037526255100e+00   3.9971909944911710e-01   3.5786459431165203e+00   2.0113499426343805e+02   2.1785691260802778e+02   1.1095286962494956e+02
'2000PP9'      54800.000000   2.3275111828577599e+00   5.5311199079543660e-01   5.5913310896145747e+00   1.7177461592588605e+02   1.5947249079063877e+02   1.1998948710613116e+02
'2000QO130'    54800.000000   2.2496091306027099e+00   4.5561065595280775e-01   5.9003610243531028e+00   3.4326563917303514e+02   3.3948631030203978e+02   1.6607492575701437e+02
'2000QU7'      54800.000000   2.2791659646741000e+00   6.4893543812378762e-01   2.2327825908227119e+01   3.3960294968424705e+02   8.7348297528742236e+01   1.2396259890406623e+02
'2000QV7'      54800.000000   1.4086776513599100e+00   5.2291030605045274e-01   9.1250161358226638e+00   1.5490077413444885e+02   7.9366735015378055e+01   1.8994980763156832e+01
'2000QW7'      54800.000000   1.9462931144412701e+00   4.6792831571108534e-01   4.1626810618474410e+00   1.5873018248850488e+02   1.9059353522190415e+02   1.0081337321104835e+01
'2000QY69'     54800.000000   1.4265366168991600e+00   1.6368929940529853e-01   2.5203573643896590e+01   3.4202670511535933e+02   6.4961415527156845e+01   2.5190473868673337e+02
'2000RD52'     54800.000000   2.2039476455721001e+00   4.4386565769601333e-01   4.9456015731939829e+00   3.0914778265268296e+02   2.4369080010563817e+01   1.8802362423068348e+02
'2000RJ12'     54800.000000   2.1522880242852800e+00   4.8221852735956827e-01   7.1501373353235360e+00   3.1809700408040538e+02   2.5679059388828545e+01   2.1816269922969997e+02
'2000RK12'     54800.000000   2.5192148785451800e+00   6.8706091966509397e-01   3.1822701887035439e+01   1.6162586890277032e+02   2.5145084647089453e+02   9.5045142635128794e+00
'2000RK60'     54800.000000   2.1781964135602401e+00   4.8808970291772252e-01   6.5859299806053402e+00   1.9720566480991354e+02   1.3341136517419287e+02   2.0658485751431786e+02
'2000RN77'     54800.000000   9.5100294530758200e-01   3.1827345206908736e-01   1.6095866497976981e+01   3.1284114691872901e+02   2.1171091830908787e+02   1.4284376941454826e+02
'2000SB8'      54800.000000   2.2779465176821101e+00   4.8020914584402985e-01   8.7770816393087365e+00   4.3017838239877236e+01   3.1195176937401533e+02   1.4040655682058861e+02
'2000SN10'     54800.000000   2.4947006046381701e+00   5.4959922149175977e-01   1.1760349695198174e+01   3.5346583082789181e+02   3.5322086809843773e+02   3.1605714896124269e+01
'2000SS43'     54800.000000   1.7318183134627900e+00   4.0977933210525785e-01   4.0936988376126306e+00   6.8968561454556241e+00   3.5319154832725451e+02   2.1299043192096795e+02
'2000SZ162'    54800.000000   9.3017131191315205e-01   1.6769455838701317e-01   8.9335359602684850e-01   1.4822384375847822e+01   1.3138493398834981e+02   2.7570393807091745e+02
'2000TE2'      54800.000000   1.3204526998606800e+00   2.1392231290066896e-01   6.2206580413299593e+00   9.1589738834831724e+00   9.9441587305907380e+00   1.3131411425320317e+02
'2000TG2'      54800.000000   1.5216064550501900e+00   2.4532808927906327e-01   1.1998897955557439e+01   2.0689832520701364e+02   2.0031102718959741e+02   9.8256509100045150e+01
'2000TH1'      54800.000000   2.3079243459969101e+00   5.4199058575995152e-01   1.2131084392379632e+01   1.2796186769423734e+01   3.3528914724641243e+02   1.2445311437601633e+02
'2000UG11'     54800.000000   1.9284003366750400e+00   5.7294023030901886e-01   8.9247631722957586e+00   2.2427144890193807e+02   2.4053190151427825e+02   3.4809633716697857e+02
'2000WH10'     54800.000000   2.5261356296077500e+00   6.6305703510621317e-01   1.3262110283578080e+01   5.0220424468858326e+01   6.3364258551557668e+01   3.4931011871212877e+02
'2000WM107'    54800.000000   2.5418853418717400e+00   6.0725575042567115e-01   1.9351725193040938e+01   7.1654402842017717e+01   2.8097603294678350e+02   1.2035636369463568e+01
'2000WP19'     54800.000000   8.5447202424384605e-01   2.8862190871988508e-01   7.6811425450383926e+00   5.5832435709145763e+01   2.2203062988617441e+02   1.7041927788547562e+02
'2000WP148'    54800.000000   1.3182945132823300e+00   2.6417030313977513e-01   2.1281308166261709e+01   2.5206903513978185e+02   2.3783947267092373e+02   5.8192013446351524e+01
'2000WT28'     54800.000000   2.5519259213352101e+00   6.1037381538288504e-01   5.6548977739105828e+00   4.7101768575382181e+01   1.9795094570243574e+01   3.4325076705797534e+02
'2000WY28'     54800.000000   1.6386142698025099e+00   2.8948531074457123e-01   1.9447717353316779e+01   6.3362013405980932e+01   3.5728677907923236e+02   2.9285502616277194e+02
'2000YG29'     54800.000000   3.1749648281014098e+00   6.9297634888722459e-01   1.8888087157737246e+01   9.2440441739903136e+01   3.5849108596095471e+02   1.4779027575436584e+02
'2000YJ29'     54800.000000   1.9613150050828001e+00   8.3336908371039664e-01   4.3687477522738078e+01   2.6622013752897891e+02   3.2773544964779938e+02   2.9411307977092810e+02
'2001BA16'     54800.000000   9.4031442517796804e-01   1.3742321197712898e-01   5.7688998395190483e+00   1.1561546817761838e+02   2.4280938060148728e+02   3.3079866975999812e+02
'2001BE16'     54800.000000   1.2550213290913399e+00   4.0399653978012962e-01   3.9382826415063953e+01   1.2197058560742235e+02   1.0614785698400941e+02   1.4821379989135593e+02
'2001BN61'     54800.000000   1.8280381199056901e+00   4.6421515249144651e-01   9.7311948973771347e+00   1.1889625825809854e+02   3.3416452568839048e+02   7.3007292378285186e+01
'2001BZ39'     54800.000000   1.9884375230085800e+00   4.2127247824680214e-01   8.8347762777564558e+00   2.2517413042308976e+02   1.9702077655359520e+02   3.1814600544319666e+02
'2001DB3'      54800.000000   2.6851547380880398e+00   5.5875268561778291e-01   2.4562973895359981e+01   3.4149829329581183e+02   2.6352060099864258e+02   2.4367938770609240e+02
'2001DC77'     54800.000000   2.5434013312033499e+00   5.0001700421973616e-01   9.4040340437408307e+00   3.5632154603373903e+02   1.9510427391944251e+02   3.1885520960928903e+02
'2001DQ8'      54800.000000   1.8419055835733100e+00   9.0142744508856498e-01   1.2891051877316492e+01   3.4285917652293779e+02   1.4598196422462438e+01   6.8936187942299071e+01
'2001DZ76'     54800.000000   2.3565169779953701e+00   6.0863660347467241e-01   5.7505983006274048e+00   1.5212154518121216e+02   3.8111109151981971e+01   4.5992008950654196e+01
'2001EC16'     54800.000000   1.3455096490350600e+00   3.6393240314500702e-01   4.7114552006741901e+00   1.7562648897361876e+02   7.0397788906740729e+01   3.0341381303477436e+02
'2001FA7'      54800.000000   2.0070415432144499e+00   5.3589674356613826e-01   2.2858744858110644e+01   3.5259522394273307e+02   6.2399154813918180e+01   3.1635291753679155e+02
'2001FP32'     54800.000000   1.3594903619900800e+00   3.3355978522934560e-01   2.9291969319153520e+01   1.8257907476411910e+02   6.4702581508527473e+01   2.7272715820914902e+02
'2001FX9'      54800.000000   1.9323295890922201e+00   3.3142956009674251e-01   3.4941366439354029e+00   1.8455073181983877e+02   2.9191198325478678e+02   3.4431395011181979e+02
'2001GO2'      54800.000000   1.0065596735146001e+00   1.6799516590644475e-01   4.6148265398090826e+00   1.9359255013210770e+02   2.6536719517047175e+02   2.8875541048652866e+02
'2001GQ2'      54800.000000   1.2138579661836699e+00   5.0306654759588298e-01   2.1821493847080248e+01   3.7214154286240742e+01   2.8022280456931082e+02   2.0129968333711571e+02
'2001HA4'      54800.000000   2.6845499234271899e+00   7.9580501164356965e-01   1.7163450890827963e+01   3.5500362766523955e+02   9.4706157820496017e+01   2.7506972160836909e+02
'2001HA8'      54800.000000   2.3836346675711599e+00   5.3016056404552359e-01   1.1543092609571623e+01   9.6034062444129034e+01   2.0183000446342780e+02   3.5124347482899685e+02
'2001HC'       54800.000000   8.7465299330460999e-01   4.9926992759915834e-01   2.3741894946312424e+01   3.2641904410288220e+01   2.8167881719754909e+01   2.2188755073584281e+02
'2001HX7'      54800.000000   2.2613031676412900e+00   5.0767910072211486e-01   5.6757710042558685e+01   2.0547586339252661e+02   4.0671011634110918e+01   7.4375081589772662e+01
'2001HY7'      54800.000000   9.1390143341786401e-01   4.1199020205921699e-01   5.2091144364726008e+00   2.0536911399374716e+02   2.1100877789781697e+02   2.6127507260611655e+01
'2001HZ7'      54800.000000   1.4683683324002501e+00   4.9824486731126871e-01   5.4169969404960474e+00   1.5647262966689300e+02   3.1261887909358245e+02   1.4233763116155316e+02
'2001JW1'      54800.000000   1.1783489316218700e+00   6.8750717642356754e-02   3.5393151838893885e+01   6.2068152753738381e+01   9.7418770211470218e+01   3.1741228523529408e+01
'2001KD68'     54800.000000   2.3813391930001999e+00   5.0552013582243915e-01   2.0435180828870196e+00   2.4985081714365825e+02   3.5052000457503914e+02   1.6923684346429045e+01
'2001KW18'     54800.000000   1.2419357863196800e+00   1.5721208370240691e-01   7.1881063291265868e+00   6.1710194436436026e+01   1.8183091279650313e+02   1.5535183914683483e+02
'2001LC'       54800.000000   1.0544767560298001e+00   6.7755270672152990e-01   1.6970288584474559e+01   1.1242737973864085e+02   2.4208423501926433e+00   3.0630614172205217e+01
'2001LM5'      54800.000000   1.2315573692020600e+00   3.4624715029243747e-02   1.2547819742261208e+01   2.7024301615277705e+02   2.5578918121394682e+02   2.6358421003350759e+02
'2001MR3'      54800.000000   2.3644082487381501e+00   4.5457316675558035e-01   4.4447799086722259e+00   2.2105417994577371e+02   5.8430567391059292e+01   1.4451232626371368e+01
'2001OA14'     54800.000000   1.0891297924395600e+00   4.2162283561041380e-01   2.9239691070196280e+01   3.0956558035624016e+02   1.4433819019906764e+02   6.5897085508265903e+01
'2001OD3'      54800.000000   2.6107151402200501e+00   5.2084927925526625e-01   1.4943143107110183e+01   1.2251770014262580e+02   2.0999396657150584e+02   2.5943207141339434e+02
'2001OX13'     54800.000000   2.3826980001636699e+00   4.6246907643471791e-01   4.1833437000271925e+00   5.4520054751365407e+01   2.7742269925675396e+02   3.4928963029960471e+02
'2001PD1'      54800.000000   2.2352506581840199e+00   4.5696637444654298e-01   5.9610928106750389e+00   2.8253245738373187e+02   9.4497198048954061e+01   5.1949903511733268e+01
'2001QB34'     54800.000000   2.2061946897210398e+00   4.1745126880452132e-01   5.7367608659337597e+00   2.6710869155161907e+02   8.6214816496368940e+01   7.6180005722362267e+01
'2001QD96'     54800.000000   1.2743867991111499e+00   4.9661076306056551e-01   1.7953039472947328e+01   3.3036745802405528e+02   1.4572086774815830e+02   2.6084967569079021e+02
'2001QH142'    54800.000000   1.5274600854992599e+00   2.2164639161290853e-01   3.0600806437396798e+01   3.1838486118739962e+02   2.5343770614710309e+02   6.4371176745915875e+01
'2001QM163'    54800.000000   2.3203645481801698e+00   7.3450184044482858e-01   9.2271500369340966e+00   8.8027392360449127e+01   1.6584957269959662e+02   3.4823248675919565e+01
'2001QN142'    54800.000000   3.0890316863207699e+00   6.8616798227080000e-01   1.0234002122434015e+01   1.6438013048432558e+02   1.1016657751001898e+02   1.3142111861781223e+02
'2001RA18'     54800.000000   2.6027850999110900e+00   5.9195985116520677e-01   1.0981738621840181e+01   1.7975592267905895e+02   2.0567237938139979e+02   2.4764195709319344e+02
'2001RP3'      54800.000000   2.3450628550887598e+00   5.5881735067213778e-01   9.2699592188529323e+00   1.7069848928660227e+02   1.5862275902150719e+02   6.7617252905030742e+00
'2001RQ17'     54800.000000   2.0032593215580601e+00   4.9279850306632372e-01   1.3300728803026067e+00   3.0857670094821032e+01   2.8434428885858142e+02   2.0640187347598587e+02
'2001RX11'     54800.000000   2.7710171675850299e+00   5.4408029829091520e-01   1.3048016859928994e+01   3.4401053906986772e+02   3.0761541754647800e+02   2.1698519862646472e+02
'2001RX47'     54800.000000   2.0214391033671499e+00   4.2295309473700532e-01   1.0745862002326078e+01   2.7707426310587971e+02   2.3691173541653153e+01   2.0118162470997098e+02
'2001SA270'    54800.000000   1.3023365765418800e+00   7.3528452813229328e-01   3.8539043471550158e+01   2.1005628202326912e+02   1.5561377461038600e+01   3.3178980174927926e+02
'2001SD348'    54800.000000   1.8849145089366299e+00   3.2834922561056556e-01   1.4385620972513225e+01   2.0293309641837109e+02   8.9369745128070875e+01   3.1835809493186605e+02
'2001SE270'    54800.000000   1.2150502192883901e+00   4.8184887229720036e-01   5.3692294041006070e+00   3.5708748077508653e+02   1.0754123932546580e+02   8.3127270168087747e+01
'2001SE286'    54800.000000   2.0354260972942901e+00   4.5687145454021710e-01   2.6851930651351200e+01   2.6864612041413335e+02   1.9903332597539952e+02   1.3576797394098460e+02
'2001SG262'    54800.000000   1.9635104607630101e+00   5.8248227214840831e-01   4.8109991941939088e+00   3.5964347756809752e+02   9.9487994622004493e+01   1.9663398445744602e+02
'2001SQ3'      54800.000000   1.1101973812586501e+00   2.5451856125125377e-01   2.3897491636166926e+01   3.5621386358212987e+02   2.6810597576547048e+02   1.2116007707230848e+02
'2001SS287'    54800.000000   3.2470821955833800e+00   6.7419952474186851e-01   1.8412897837958095e+01   2.3086080126908507e+02   1.7384929779319305e+02   7.6698446822336791e+01
'2001SY169'    54800.000000   1.2270150519482299e+00   4.0821819553106753e-01   5.0980726441803421e+00   1.7165033990847334e+02   8.2019657093791224e+01   1.6356840743763794e+02
'2001TB'       54800.000000   1.7168526371122701e+00   5.2526450141468795e-01   3.9680314799431096e+00   1.9226977144148734e+02   2.4505302324110605e+02   4.4123790425024751e+01
'2001TD'       54800.000000   9.5414068152001497e-01   1.6606473933514249e-01   9.0125832970973825e+00   1.3210639399716475e+01   2.4135707277230563e+02   3.4329611089652423e+02
'2001TE45'     54800.000000   1.8058160976105500e+00   4.6279992744152870e-01   1.4606991158743265e+01   2.0874244168365655e+02   1.2035188384725238e+02   3.5567202361656859e+02
'2001TY1'      54800.000000   2.4079328138140701e+00   5.9321650741265497e-01   5.8499681712597900e+00   9.6959059116201587e+00   3.4282568864139552e+02   3.3247752292276101e+02
'2001TY44'     54800.000000   2.3614564212653599e+00   5.1875974954346626e-01   2.5355468747414212e+00   3.5718023014279788e+02   7.2879662569743800e+01   3.3307550809747153e+02
'2001UC5'      54800.000000   2.7311841530927299e+00   6.2517989225108284e-01   3.0399364534962050e+01   2.8362074633396450e+01   2.3907100340408032e+01   2.0289227181058862e+02
'2001UE18'     54800.000000   1.3613709652568700e+00   1.8193251829251614e-01   1.5448631158365787e+01   3.3235766327393733e+01   6.0638402747829915e+01   1.2540598223204719e+02
'2001UF18'     54800.000000   1.1411454752018799e+00   6.0949339577130457e-01   3.1278828493007186e+01   4.6024198447733525e+01   2.0253105020633495e+02   7.4560452040813390e+00
'2001UO'       54800.000000   2.5490196919625800e+00   6.6901848037673795e-01   1.0277378183391766e+01   2.1765821189205539e+01   3.0322695823467740e+02   2.7842359180641921e+02
'2001UO27'     54800.000000   2.6317187791021799e+00   5.2097654296171070e-01   4.0196937318780698e+01   2.1713428848312083e+02   1.5302220661242924e+02   2.4232797091565192e+02
'2001UQ163'    54800.000000   2.1715479498342898e+00   4.9290276860659787e-01   6.7574426666143417e+00   5.6088270789865113e+01   2.6232540458765061e+02   1.0893689797111580e+02
'2001UW16'     54800.000000   1.3640928404227699e+00   1.7831420883996665e-01   3.7598040202008974e+01   3.7078079220145824e+01   1.0665711133496073e+02   7.2347353337854258e+01
'2001UW17'     54800.000000   1.5579128922169900e+00   2.3220749323586787e-01   1.2904040248226297e+01   2.2329873751529442e+02   2.1776712761312149e+02   2.0095697417068018e+02
'2001VB2'      54800.000000   1.7182641558030300e+00   3.9532939686572965e-01   7.9357096498350117e+00   5.0139677498704444e+01   3.1958653909203548e+02   5.7522013417097462e+01
'2001VB76'     54800.000000   1.4584033501199800e+00   3.4842279215658911e-01   4.2389762333665288e+00   2.5958232447982817e+02   2.4824328020440007e+02   3.0279761495908059e+02
'2001VC76'     54800.000000   1.7545455509444099e+00   4.4216782810195138e-01   1.6849976512861630e+01   5.2346586516626651e+01   2.5869946512229950e+02   6.0686408695674977e+01
'2001VE76'     54800.000000   1.7410081312703500e+00   5.1463883291604673e-01   4.1555570114693161e+00   2.1735601333667904e+02   2.6246104198576836e+02   1.6127541259122575e+00
'2001VF2'      54800.000000   1.8180410649508101e+00   3.8462089791065962e-01   8.9109939967406753e+00   5.8898399917534540e+01   1.1667798332237581e+01   3.0883948275142262e+02
'2001VH5'      54800.000000   1.2739632641749901e+00   1.8664369441618897e-01   2.6516101678450596e+01   2.3044812154828890e+02   1.1932205493279118e+02   6.1892096933084781e+00
'2001WH1'      54800.000000   2.4667943625466902e+00   8.0036275144986713e-01   1.5579883015574072e+01   6.8332070570568263e+01   1.0729296534217910e+02   2.7610303392450822e+02
'2001WJ4'      54800.000000   1.2554461382190301e+00   2.1637657012706599e-01   7.9088796290494185e+00   5.7228194739304044e+01   1.8652255100595127e+01   3.4742272762632274e+02
'2001WK15'     54800.000000   1.1409783357514001e+00   1.3696213750834751e-01   2.4509332260360981e+01   6.6396133300088763e+01   9.9890683429711288e+01   1.8959836378491357e+02
'2001XE1'      54800.000000   1.6035187776935000e+00   2.1085168287541536e-01   2.0951468539490445e+01   2.3118658840769231e+02   2.7296876108596803e+02   1.0728554051958152e+02
'2001XF1'      54800.000000   1.4788854273972800e+00   4.6384900085895020e-01   2.2040813104151393e+01   8.7873591824743144e+01   2.3148081101525133e+02   1.4999111580584817e+01
'2001XG1'      54800.000000   2.0061332151254798e+00   5.9813258787413903e-01   3.0175065611214746e+00   5.6524550400440226e+01   8.1362525794589232e+01   1.4989637528947435e+02
'2001XP88'     54800.000000   1.3468001912778300e+00   1.9443649057769530e-01   6.7482586296652061e+00   9.7905987910699011e+01   2.6116956006285778e+02   2.2929301371905731e+02
'2001XQ31'     54800.000000   2.8504585544870600e+00   5.7804657409399229e-01   1.9511893635577756e+01   8.5701619834029358e+01   3.3353462842405105e+02   1.6890535581964664e+02
'2001XV10'     54800.000000   2.2067233748506299e+00   5.8364046337131859e-01   2.2273844645255977e+01   3.1542595485625927e+01   3.4178535540723112e+02   8.2108033753067460e+01
'2001XW10'     54800.000000   2.1038403971660200e+00   7.6762606520090404e-01   4.6590418199674666e+00   3.4048332820719349e+02   3.5353625506266559e+02   1.2175467382683357e+02
'2001XW266'    54800.000000   2.2867217431645699e+00   4.4921781749628598e-01   4.6172551212223460e+00   2.0619751568490568e+02   8.9402208956781806e+01   3.6712765308838193e+01
'2001XX103'    54800.000000   2.0515997162375701e+00   6.6534478064658786e-01   6.1718765590316611e+00   7.9806648798958591e+01   8.4811200730518323e+01   1.1591149094205628e+02
'2001XY10'     54800.000000   8.7177797171479499e-01   3.8723262780917628e-01   3.0995197543446981e+01   9.2978200597128648e+01   2.1967245333018201e+02   3.0807234859481156e+02
'2001YA1'      54800.000000   2.1612961269305999e+00   4.7276612173309951e-01   2.7978991941433023e+01   2.5532694064273281e+02   1.6791375997037153e+02   7.1283575369361159e+01
'2001YE1'      54800.000000   1.9120317041124200e+00   5.0208826713828469e-01   4.4578278715102746e+00   6.5929079978199937e+01   9.7544309718867723e+01   2.0047461194965132e+02
